中文,English
强制,force
整理,sort
,
百分比吸收,percentage absorb
,
金币,gold
等级,level
称号,title
经验,exp
账号,account
增益buff,buff
卸下/调离,remove
,
公会,guild
公会宣言,declaration
会长,leader
贡献,contribution
加入,join
职位,position
队伍,team
,
购买/抢购,purchase
购买,buy
,
孔,slot
镶嵌,socket
消耗,costs
续费,renew
已收集,collected
已装备,equipped
洗炼/精炼,refine
材料,materials
升级/培养,upgrade
培养,train
分解,dismantle
进阶/升星,evolve
强化,enchant
强化大师,enchant master
血脉,bloodline
,
中,medium
低,low
基础/初级,basic
中级,intermediate
高级,advanced
,
宝石,gem
圣物,hollything
爵位,peerage
符文,rune
上衣,top
帽子,hat
戒指,ring
时装,fashion
纹章,crest
武器,weapon
下衣,bottom
,
风系,wind
火系,fire
冰系,ice
系别,type
辅助,support
绿色,green
蓝色,blue
橙色,orange
紫色,purple
定位,role
物攻,fighter
法攻,mage
羁绊,bond
,
败方,loser
胜方,winner
胜利/失败,victory/defeat
,
帮助,help
宝藏,treasure
宝箱,chests
保存,save
保护时间,protection time
报名时间,registration
补签,retrieve
捕灵/捕捉,capture
布阵/阵容,formation
参加,join
查看,view
成功率,success rate
成就,goal
成员,members
充值,recharge
出售,sell
大厅,hall
待激活,activatable
倒计时,countdown
道具,item
登陆,login
等级特权,privilege
对战时间,duration
兑换,exchange
额外,extra
恶魔,devil
发送,send
返回,return
服务器,server
复仇,revenge
复活,revive
覆盖,cover
更换,change
雇佣,hire
关卡,checkpoint
还原,restore
行动值,action point
好友,friends
号召,get
合成,synthesize
后排,back row
护送,escort
回放,replay
回赠,send back
活动,event
击杀/被击杀,kills/deaths
激活,activate
记录,record
技能,skill
加成,bonus
建设,construction
建筑,constructions
奖励,reward
截止,deadline
进驻,station
竞技场,arena
拒绝,decline
可获得,outcome
快速登陆,quick access
来自,from
累计,accumulative
冷却时间,CDTime
礼包,pack
兑换,exchange
立即重置,restnow
聊天,chat
列表,list
领取,claim
掠夺,loot
每日,daily
密码,password
描述,description
排行榜,rankings
排名,ranking
派遣,dispatch
品阶,quality
平均,average
屏蔽,block
物资,resources
普通,normal
签到,check-in
前排,front row
抢夺,steal
抢夺碎片,steal shards
切换,switch
清空列表,clear all
取消,cancel
全部,all
确认,confirm
群发邮件,mail all
人数/人口,population
任务,quest
奖励,reward
荣耀,honor
肉盾,tank
入会条件,filter
赛季,seasonal
赛事/战斗,battle
扫荡,blitz
删除,delete
商店,shop
上阵,in formation
申请,apply
剩余次数,chancesleft
剩余免战时间,protection time left
剩余时间,time left
石头,stone
时间,time
使用,use
世界,world
收到,received
属性,stats
刷新,refresh
碎片,shards
提取,collect
体力,stamina
添加,add
添加好友,add to friends
挑战,challenge
条件,requirement
跳过,skip
图鉴,handbook
推荐,recommended
退出,quit
挖宝,dig
未开启,locked
物资,resources
系统设置,settings
现价,current price
限购,purchase limits
效果,effects
信息,info
邀请,invitations
一键,one-tap
已激活,activated
已捐赠,donated
已领取,claimed
拥有,own        
游戏公告,notice
有效时间,effective time
语音,voice
原价,original
占领,occupation
召唤,summon
重生,regen
重新发送,resend
重置,reset
主城,abyss
注册,register
装备,equip
准备,prepare
准备时间,preparation
资源点,resource point
总,total
最受欢迎,most popular
尊享/专属,exclusive
流失率,churn rate
付费率,pay rate
留存率,retention Rate
任务条件-杀怪,Kill
任务条件-收集,Gather
任务条件-护送,Escort
战斗力,combat points
